code,label
10000,Europe
10100,Spain
10101,Alicante
10102,Barcelona
10103,Bilbao
10104,Cadiz
10105,Figuera
10106,Gibraltar
10107,La CoruÌ±a
10110,Santander
10111,Seville
10112,San Lucar
10113,Vigo
10114,Malaga
10199,"Spain, port unspecified"
10000,Europe
10200,Portugal
10202,Lagos
10203,Lisbon
10204,Oporto
10205,Ilho do Fayal
10206,Setubal
10299,"Portugal, port unspecified"
10000,Europe
10300,Great Britain
10399,"Great Britain, port unspecified"
10000,Europe
10400,England
10401,Barmouth
10402,Bideford
10403,Birkenhead
10404,Bristol
10405,Brixham
10406,Broadstairs
10407,Cawsand
10408,Chepstow
10409,Chester
10410,Colchester
10411,Cowes
10412,Dartmouth
10413,Deptford
10414,Dover
10415,Exeter
10416,Folkstone
10417,Frodsham
10418,Gainsborough
10419,Greenwich
10420,Guernsey
10421,Harwich
10422,Hull
10423,Ilfracombe
10424,Ipswich
10425,Isle of Man
10426,Isle of Wight
10427,Jersey
10428,Kendal
10429,King's Lynn
10430,Lancaster
10431,Lindale
10432,Liverpool
10433,London
10434,Lyme
10436,Maryport
10437,Milford Haven
10438,New Shoreham
10439,Newcastle upon Tyne
10440,Newnham
10441,North Shields
10442,Northam
10443,Norwich
10444,Padstowe
10445,Parkgate
10446,Piel of Foulney
10447,Plymouth
10448,Poole
10449,Portsery
10450,Portsmouth
10451,Poulton
10452,Preston
10453,Ramsgate
10454,Ravenglass
10455,River Thames
10456,Rochester
10457,Rotherhithe
10458,Rye
10459,Scarborough
10460,Sheerness
10461,Shields
10462,Shoreham
10463,Sidmouth
10464,Southampton
10466,Stockton
10467,Stockwithe
10468,Sunderland
10469,Teignmouth
10470,Topsham
10471,Torbay
10472,Wales
10473,Whitby
10474,Whitehaven
10476,Workington
10477,Yarmouth
10478,Youghal
10479,Conway
10480,Falmouth (Eng.)
10481,Lymehouse (London)
10482,St Osyth
10483,Woodbridge
10484,Workington
10499,"England, port unspecified"
10000,Europe
10500,Scotland
10501,Airth
10502,Borrowstounness
10503,Dundee
10504,Glasgow
10505,Greenock
10506,Leith
10507,Lough Neagh
10508,Montrose
10509,Ross
10510,Saltcoats
10511,"Largo, Fifeshire"
10512,Dumfries
10513,Point Askaig
10599,"Scotland, port unspecified"
10000,Europe
10600,Ireland
10601,Cork
10602,Dublin
10603,Dungarvan
10604,Galway
10605,Kinsale
10606,Limerick
10607,Londonderry
10608,Ringsend
10609,Strangford
10610,Waterford
10611,Wexford
10612,Belfast
10613,Coleraine
10699,"Ireland, port unspecified"
10000,Europe
10700,France
10702,Bayonne
10703,Bordeaux
10704,Brest
10705,Calais
10706,Camaret
10707,Dieppe
10708,Dinard
10709,Dunkerque
10710,Honfleur
10711,Ile de Batz
10712,La Rochelle
10713,Le Havre
10714,Les Sables
10715,Lorient
10716,Marseille
10717,Mediterranean coast (France)
10718,Mindin
10719,Morlaix
10720,Nantes
10721,Paimboeuf
10722,Port Louis
10723,Quimper
10724,Rochefort
10725,Saint-Brieuc
10726,Saint-Malo
10727,Saint-Nazaire
10728,Saint-Tropez
10729,SÌ¬te
10730,Vannes
10799,"France, port unspecified"
10000,Europe
10800,Netherlands
10810,Amsterdam
10821,Enkhuizen
10822,Hoorn
10827,Zaandam
10828,Zuider Zee
10829,Texel
10830,Rotterdam
10831,Dordrecht
10832,Maze
10833,Moerdijk
10834,Hellevoetsluis
10840,Zeeland
10850,Middelburg
10851,Vlissingen
10852,Veere
10853,Zeeland or Middelburg
10860,Groningen
10861,Stad en Lande
10899,"Netherlands, port unspecified"
10000,Europe
10900,Denmark
10901,KÌübenhavn
10902,Husum
10903,HelsingÌür
10999,"Denmark, port unspecified"
10000,Europe
11000,Northern Germany
11001,Pillau
11002,Elbe
11003,Emden
11004,Hamburg
11005,Hanover
10000,Europe
11100,Belgium
11101,Antwerp
11102,Flanders
11103,Brugge
11199,"Belgium, port unspecified"
10000,Europe
11200,Norway
11201,TÌünsberg
11202,Bergen
10000,Europe
11300,Sweden
11301,GÌ¦teborg
11399,"Sweden, port unspecified"
10000,Europe
11400,Italy
11401,Genova
11402,Napoli
11404,Trieste
10000,Europe
11500,Russia
11501,Kronstadt
11502,Odessa
10000,Europe
11600,Mediterranean
11601,Sardinia
11699,"Mediterranean, port unspecified"
20000,Mainland North America
20100,Rhode Island
20101,Bristol (RI)
20102,Little Compton
20103,Newport
20104,North Kingston
20105,Providence
20106,Tiverton
20107,Warren
20199,"Rhode Island, port unspecified"
20000,Mainland North America
20200,Maine
20201,Bath
20202,Berwick
20203,Biddeford
20204,Calais (Maine)
20205,Camden
20207,Freeport
20208,Portland
20209,Prospect
20210,Richmond
20211,Robbinston
20212,Rockland
20213,Sheepscutt River
20214,Wiscasset
20215,Kittery Point
20216,Orrington
20217,Penobscot
20000,Mainland North America
20300,New Hampshire
20301,Piscataqua
20302,Portsmouth (NH)
20303,North Hampton
20399,"New Hampshire, port unspecified"
20000,Mainland North America
20400,Massachusetts
20401,Massachusetts Bay
20402,Amesbury
20403,Arundel
20404,Boston
20405,Chatham
20406,Cohasset
20407,Dighton
20408,Duxbury
20409,Freetown (Mass.)
20410,Georgetown (Mass.)
20411,Hingham
20412,Kingston (Mass.)
20413,Marblehead
20414,Marshfield
20415,New Bedford
20416,Newbury
20417,Salem
20418,Salisbury
20419,Salfatudas
20420,Scituate
20421,Swansea
20422,Weymouth
20423,Charlestown
20424,Newburyport
20425,Nantucket
20499,"Massachusetts, port unspecified"
20000,Mainland North America
20500,Connecticut
20501,Bridgeport
20502,Guildford
20503,Haddam
20504,New Haven
20505,New London
20506,Middletown
20507,Hartford
20508,Fairfield
20509,Killingworth
20510,Weathersfield
20599,"Connecticut, port unspecified"
20000,Mainland North America
20600,New York
20601,Brookhaven
20602,Long Island
20603,Sag Harbor
20699,New York
20000,Mainland North America
20700,Delaware
20701,Wilmington (Del.)
20799,"Delaware, port unspecified"
20000,Mainland North America
20800,New Jersey
20801,Delaware River
20802,Eastern New Jersey
20803,Milwell
20804,Perth Amboy
20805,Wharton
20806,Burlington
20807,Newark
