portname,total
Vatt (location undetermined),128
"Tobago, port unspecified",954
"Spanish Caribbean, unspecified",319
British Leewards,300
Saint-Marc,879
Upper James River,398
"Puerto Rico, port unspecified",552
Essequibo,3230
Carolinas,390
"Barbados, port unspecified",32315
"Dominica, port unspecified",3239
"St. Vincent, port unspecified",1839
Bermuda,613
"French Caribbean, colony unspecified",600
Cura̤ao,20808
Boston,75
Jamaica or St. Kitts,115
"Hispaniola, unspecified",132
"Spanish Americas, port unspecified",450
"Dutch Guianas, colony unspecified",250
St. Eustatius,10349
Antigua or Dominica,240
"Nevis, port unspecified",781
"Bahia, port unspecified",153050
"North Carolina, port unspecified",415
New York,561
St. Augustine,117
"Trinidad, port unspecified",450
Demerara,64
"Grenada, port unspecified",7646
Cayenne,118
"USA, location unspecified",4691
"Rhode Island, port unspecified",63
Suriname,65075
"Cuba, port unspecified",505
West Indies (colony unspecified),16072
Caribbean (colony unspecified),935
Par��,9421
Maranḥo,16254
Caracas,804
Lisbon,29
Port Royal,1753
New Orleans,134
Ile de France,300
"British Caribbean, colony unspecified",1886
York River,233
Havana,3817
Kingston (Jamaica),85
"Saint-Domingue, port unspecified",4707
Monte Christi,220
"Jamaica, port unspecified",89620
"Brazil, region unspecified",2455
Charleston,1987
"Georgia, port unspecified",1600
"Sierra Leone, port unspecified",58
"Spanish Circum-Caribbean,unspecified",833
Port-au-Prince,743
"Martinique, port unspecified",1566
"Maryland, port unspecified",2380
Cayes (Les),167
"Virginia, port unspecified",10074
"Montserrat, port unspecified",566
Cap Fran̤ais,14142
St. Croix,539
"St. Kitts, port unspecified",5778
L̩ogane,3367
Buenos Aires,16797
"South Carolina, port unspecified",10090
"Guadeloupe, port unspecified",153
Berbice,3788
"Pernambuco, port unspecified",6302
"Antigua, port unspecified",8110
"Americas, port unspecified",360
Campeche,150
Veracruz,92
Rio de Janeiro,36707
Rio de Janeiro province,10
Portobelo,3168
Cartagena,4621
