first_place_purchased,tslavesd
60201,2570
60202,5113
60204,108
60206,96
60208,640
60118,37961
60111,69
60110,340
60113,392
60605,56593
60604,361
60913,757
60912,55787
60601,169
60917,15866
60916,1159
60106,35
60609,3074
60608,39530
60107,495
60212,829
60210,11281
60217,868
60214,70
60108,21675
60109,9628
60518,401
60699,1546
60515,127532
60514,10010
60517,2630
60516,1981
60511,3620
60510,2235
60104,13184
60105,7261
60617,423
60299,4528
60612,1188
60611,370
60599,9596
60619,215
60199,734
60820,6483
60822,201
60340,893
60220,9990
60508,206
60509,11258
60506,225
60507,20053
60502,22759
60501,402
60622,9858
60620,3264
60424,377
60837,46
60833,960
60831,742
60331,933
60335,1099
60126,1166
60734,253190
60730,1608
60806,446
60321,3715
60324,108
60523,20173
60328,244
60329,240
60404,3477
60402,6864
60241,625
60409,786
60408,51810
60726,1039
60724,50118
60725,48529
60811,1332
60720,284
60813,412
60603,168
60499,40595
60319,745
60317,751
60310,1847
60410,715
60411,71
60412,72686
60414,11613
60415,9953
60416,138
60417,773
60399,23022
60711,48670
60717,6090
60716,3842
60714,325
60719,310
60309,4379
60302,4977
60303,346
60306,10913
60307,225
60668,337
60101,375
60709,1263
60706,316
60707,62367
60702,435
60703,9021
60999,1344
60673,474
60676,259
60799,79996
